nohup: ignoring input
[2022-12-02 10:34:01.260] [info] Simpfer dataset_name yahoomusic_big, dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2022-12-02 10:34:01.260] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2022-12-02 10:34:10.076] [info] n_data_item 135736, n_query_item 1000, n_user 1823179, vec_dim 150
[2022-12-02 10:34:10.076] [info] input parameter: simpfer_k_max 736, stop_time 70000s
[2022-12-02 10:52:56.023] [info] finish preprocess and save the index
[2022-12-02 10:55:34.548] [info] queryID 0, result_size 0, rtk_topk 1, accu_ip_cost 251266, accu_query_time 158.52s,
[2022-12-02 10:55:35.462] [info] queryID 0, result_size 0, rtk_topk 2, accu_ip_cost 371993, accu_query_time 159.44s,
[2022-12-02 10:55:36.721] [info] queryID 0, result_size 0, rtk_topk 4, accu_ip_cost 610844, accu_query_time 160.70s,
[2022-12-02 10:55:38.551] [info] queryID 0, result_size 0, rtk_topk 8, accu_ip_cost 963697, accu_query_time 162.53s,
[2022-12-02 10:55:41.048] [info] queryID 0, result_size 0, rtk_topk 16, accu_ip_cost 1573689, accu_query_time 165.02s,
[2022-12-02 10:55:45.204] [info] queryID 0, result_size 0, rtk_topk 32, accu_ip_cost 2695361, accu_query_time 169.18s,
[2022-12-02 10:55:51.439] [info] queryID 0, result_size 0, rtk_topk 64, accu_ip_cost 4842500, accu_query_time 175.42s,
[2022-12-02 10:55:57.852] [info] queryID 0, result_size 0, rtk_topk 128, accu_ip_cost 9168900, accu_query_time 181.83s,
[2022-12-02 10:56:07.806] [info] queryID 0, result_size 0, rtk_topk 256, accu_ip_cost 18569703, accu_query_time 191.78s,
[2022-12-02 10:56:32.148] [info] queryID 0, result_size 0, rtk_topk 512, accu_ip_cost 43920034, accu_query_time 216.12s,
[2022-12-02 11:25:50.994] [info] queryID 0, result_size 0, rtk_topk 1024, accu_ip_cost 2142235325, accu_query_time 1974.97s,
[2022-12-02 12:01:08.983] [info] queryID 0, result_size 0, rtk_topk 2048, accu_ip_cost 4009170621, accu_query_time 4092.96s,
[2022-12-02 12:42:34.200] [info] queryID 0, result_size 11, rtk_topk 4096, accu_ip_cost 7743041213, accu_query_time 6578.18s,
[2022-12-02 13:29:26.590] [info] queryID 0, result_size 87, rtk_topk 8192, accu_ip_cost 15210782397, accu_query_time 9390.57s,
[2022-12-02 14:21:28.395] [info] queryID 0, result_size 876, rtk_topk 16384, accu_ip_cost 30146264765, accu_query_time 12512.37s,
[2022-12-02 14:21:28.395] [info] queryID 0, result_size 876, rtk_topk 16384, ip_cost 30146264765, query_time 12512.37s, total_ip_cost 30146264765, total_retrieval_time 12512.37s
[2022-12-02 14:21:39.457] [info] queryID 1, result_size 0, rtk_topk 1, accu_ip_cost 1823179, accu_query_time 11.06s,
[2022-12-02 14:21:42.594] [info] queryID 1, result_size 0, rtk_topk 2, accu_ip_cost 1825372, accu_query_time 14.20s,
[2022-12-02 14:21:45.733] [info] queryID 1, result_size 0, rtk_topk 4, accu_ip_cost 1834221, accu_query_time 17.34s,
[2022-12-02 14:21:48.896] [info] queryID 1, result_size 0, rtk_topk 8, accu_ip_cost 1883368, accu_query_time 20.50s,
[2022-12-02 14:21:52.158] [info] queryID 1, result_size 0, rtk_topk 16, accu_ip_cost 2258271, accu_query_time 23.76s,
[2022-12-02 14:21:56.823] [info] queryID 1, result_size 9, rtk_topk 32, accu_ip_cost 5176490, accu_query_time 28.43s,
[2022-12-02 14:22:08.227] [info] queryID 1, result_size 65, rtk_topk 64, accu_ip_cost 20768881, accu_query_time 39.83s,
[2022-12-02 14:22:54.952] [info] queryID 1, result_size 458, rtk_topk 128, accu_ip_cost 96996837, accu_query_time 86.56s,
[2022-12-02 14:22:54.952] [info] queryID 1, result_size 458, rtk_topk 128, ip_cost 96996837, query_time 86.56s, total_ip_cost 30243261602, total_retrieval_time 12598.93s
[2022-12-02 14:22:58.011] [info] queryID 2, result_size 0, rtk_topk 1, accu_ip_cost 1854974, accu_query_time 3.06s,
[2022-12-02 14:23:01.088] [info] queryID 2, result_size 0, rtk_topk 2, accu_ip_cost 1900807, accu_query_time 6.14s,
[2022-12-02 14:23:04.143] [info] queryID 2, result_size 0, rtk_topk 4, accu_ip_cost 2011086, accu_query_time 9.19s,
[2022-12-02 14:23:07.381] [info] queryID 2, result_size 0, rtk_topk 8, accu_ip_cost 2315884, accu_query_time 12.43s,
[2022-12-02 14:23:11.032] [info] queryID 2, result_size 2, rtk_topk 16, accu_ip_cost 3366442, accu_query_time 16.08s,
[2022-12-02 14:23:16.078] [info] queryID 2, result_size 6, rtk_topk 32, accu_ip_cost 6666182, accu_query_time 21.13s,
[2022-12-02 14:23:26.425] [info] queryID 2, result_size 30, rtk_topk 64, accu_ip_cost 18875110, accu_query_time 31.47s,
[2022-12-02 14:23:53.948] [info] queryID 2, result_size 84, rtk_topk 128, accu_ip_cost 59102188, accu_query_time 59.00s,
[2022-12-02 14:25:21.233] [info] queryID 2, result_size 287, rtk_topk 256, accu_ip_cost 189232175, accu_query_time 146.28s,
[2022-12-02 14:25:21.233] [info] queryID 2, result_size 287, rtk_topk 256, ip_cost 189232175, query_time 146.28s, total_ip_cost 30432493777, total_retrieval_time 12745.21s
[2022-12-02 14:25:22.138] [info] queryID 3, result_size 0, rtk_topk 1, accu_ip_cost 376646, accu_query_time 0.91s,
[2022-12-02 14:25:23.190] [info] queryID 3, result_size 0, rtk_topk 2, accu_ip_cost 519255, accu_query_time 1.96s,
[2022-12-02 14:25:24.455] [info] queryID 3, result_size 0, rtk_topk 4, accu_ip_cost 742650, accu_query_time 3.22s,
[2022-12-02 14:25:26.075] [info] queryID 3, result_size 0, rtk_topk 8, accu_ip_cost 1070207, accu_query_time 4.84s,
[2022-12-02 14:25:28.181] [info] queryID 3, result_size 0, rtk_topk 16, accu_ip_cost 1543409, accu_query_time 6.95s,
[2022-12-02 14:25:31.166] [info] queryID 3, result_size 0, rtk_topk 32, accu_ip_cost 2435866, accu_query_time 9.93s,
[2022-12-02 14:25:34.883] [info] queryID 3, result_size 0, rtk_topk 64, accu_ip_cost 4294286, accu_query_time 13.65s,
[2022-12-02 14:25:40.786] [info] queryID 3, result_size 0, rtk_topk 128, accu_ip_cost 8451136, accu_query_time 19.55s,
[2022-12-02 14:25:52.351] [info] queryID 3, result_size 0, rtk_topk 256, accu_ip_cost 20725511, accu_query_time 31.12s,
[2022-12-02 14:26:23.838] [info] queryID 3, result_size 0, rtk_topk 512, accu_ip_cost 60525152, accu_query_time 62.61s,
[2022-12-02 14:52:02.171] [info] queryID 3, result_size 0, rtk_topk 1024, accu_ip_cost 2142235325, accu_query_time 1600.94s,
[2022-12-02 15:23:36.109] [info] queryID 3, result_size 17, rtk_topk 2048, accu_ip_cost 4009170621, accu_query_time 3494.88s,
[2022-12-02 16:02:18.980] [info] queryID 3, result_size 125, rtk_topk 4096, accu_ip_cost 7743041213, accu_query_time 5817.75s,
[2022-12-02 16:46:42.468] [info] queryID 3, result_size 1005, rtk_topk 8192, accu_ip_cost 15210782397, accu_query_time 8481.24s,
[2022-12-02 16:46:42.468] [info] queryID 3, result_size 1005, rtk_topk 8192, ip_cost 15210782397, query_time 8481.24s, total_ip_cost 45643276174, total_retrieval_time 21226.44s
[2022-12-02 16:46:51.793] [info] queryID 4, result_size 0, rtk_topk 1, accu_ip_cost 1739453, accu_query_time 9.32s,
[2022-12-02 16:46:55.139] [info] queryID 4, result_size 0, rtk_topk 2, accu_ip_cost 1998735, accu_query_time 12.67s,
[2022-12-02 16:46:58.470] [info] queryID 4, result_size 0, rtk_topk 4, accu_ip_cost 2357338, accu_query_time 16.00s,
[2022-12-02 16:47:01.996] [info] queryID 4, result_size 0, rtk_topk 8, accu_ip_cost 3151981, accu_query_time 19.53s,
[2022-12-02 16:47:06.034] [info] queryID 4, result_size 0, rtk_topk 16, accu_ip_cost 4743119, accu_query_time 23.57s,
[2022-12-02 16:47:11.263] [info] queryID 4, result_size 0, rtk_topk 32, accu_ip_cost 8459511, accu_query_time 28.80s,
[2022-12-02 16:47:19.678] [info] queryID 4, result_size 0, rtk_topk 64, accu_ip_cost 17608257, accu_query_time 37.21s,
[2022-12-02 16:47:36.245] [info] queryID 4, result_size 2, rtk_topk 128, accu_ip_cost 40363831, accu_query_time 53.78s,
[2022-12-02 16:48:16.678] [info] queryID 4, result_size 15, rtk_topk 256, accu_ip_cost 100868062, accu_query_time 94.21s,
[2022-12-02 16:50:20.053] [info] queryID 4, result_size 72, rtk_topk 512, accu_ip_cost 288990886, accu_query_time 217.59s,
[2022-12-02 17:16:40.060] [info] queryID 4, result_size 262, rtk_topk 1024, accu_ip_cost 2142235325, accu_query_time 1797.59s,
[2022-12-02 17:16:40.061] [info] queryID 4, result_size 262, rtk_topk 1024, ip_cost 2142235325, query_time 1797.59s, total_ip_cost 47785511499, total_retrieval_time 23024.04s
[2022-12-02 17:16:49.124] [info] queryID 5, result_size 0, rtk_topk 1, accu_ip_cost 1627539, accu_query_time 9.06s,
