queryID,n_user_candidate,io_cost,ip_cost,total_time,memory_index_time,io_time,ip_time
         0,        17,      1710,         0,      0.09,      0.07,      0.02,      0.00
         1,        10,      1064,         0,      0.08,      0.07,      0.01,      0.00
         2,        10,       947,         0,      0.08,      0.07,      0.01,      0.00
         3,        73,       365,         0,      0.18,      0.07,      0.11,      0.00
         4,        29,       597,         0,      0.12,      0.07,      0.04,      0.00
         5,        14,       184,         0,      0.09,      0.07,      0.02,      0.00
         6,        11,      1000,         0,      0.09,      0.07,      0.02,      0.00
         7,        10,       950,         0,      0.08,      0.07,      0.01,      0.00
         8,        17,      2195,         0,      0.09,      0.07,      0.02,      0.00
         9,        10,       329,         0,      0.08,      0.07,      0.01,      0.00
        10,        17,      1343,         0,      0.10,      0.07,      0.02,      0.00
        11,        19,     10205,         0,      0.10,      0.07,      0.03,      0.00
        12,        16,     13485,         0,      0.09,      0.07,      0.02,      0.00
        13,        18,       676,         0,      0.10,      0.07,      0.03,      0.00
        14,        23,      5171,         0,      0.10,      0.07,      0.03,      0.00
        15,        37,      5217,         0,      0.12,      0.07,      0.05,      0.00
        16,        17,        34,         0,      0.10,      0.07,      0.02,      0.00
        17,        11,      7298,         0,      0.08,      0.07,      0.02,      0.00
        18,        52,     78679,         0,      0.14,      0.07,      0.07,      0.00
        19,        15,      2057,         0,      0.09,      0.07,      0.02,      0.00
        20,        11,      2292,         0,      0.08,      0.07,      0.02,      0.00
        21,        38,      8135,         0,      0.12,      0.07,      0.05,      0.00
        22,        12,       681,         0,      0.09,      0.07,      0.02,      0.00
        23,        18,       463,         0,      0.10,      0.07,      0.03,      0.00
        24,        34,      3256,         0,      0.12,      0.07,      0.05,      0.00
        25,        15,      3287,         0,      0.09,      0.07,      0.02,      0.00
        26,        15,       393,         0,      0.09,      0.07,      0.02,      0.00
        27,        13,        65,         0,      0.09,      0.07,      0.02,      0.00
        28,        13,       751,         0,      0.09,      0.07,      0.02,      0.00
        29,        12,       190,         0,      0.09,      0.07,      0.02,      0.00
        30,        11,       323,         0,      0.09,      0.07,      0.02,      0.00
        31,        21,       109,         0,      0.10,      0.07,      0.03,      0.00
        32,        10,       293,         0,      0.09,      0.07,      0.01,      0.00
        33,        13,       378,         0,      0.09,      0.07,      0.02,      0.00
        34,        11,      1738,         0,      0.08,      0.07,      0.02,      0.00
        35,        18,       969,         0,      0.10,      0.07,      0.03,      0.00
        36,        14,       905,         0,      0.09,      0.07,      0.02,      0.00
        37,        14,       610,         0,      0.09,      0.07,      0.02,      0.00
        38,        22,       444,         0,      0.10,      0.07,      0.03,      0.00
        39,        14,       409,         0,      0.09,      0.07,      0.02,      0.00
        40,        12,       362,         0,      0.09,      0.07,      0.02,      0.00
        41,        26,       540,         0,      0.11,      0.07,      0.04,      0.00
        42,        10,       305,         0,      0.09,      0.07,      0.01,      0.00
        43,        10,       112,         0,      0.09,      0.07,      0.01,      0.00
        44,        12,      5227,         0,      0.09,      0.07,      0.02,      0.00
        45,        20,       476,         0,      0.10,      0.07,      0.03,      0.00
        46,        16,       220,         0,      0.10,      0.07,      0.02,      0.00
        47,        12,       230,         0,      0.09,      0.07,      0.02,      0.00
        48,        19,      2674,         0,      0.10,      0.07,      0.03,      0.00
        49,        24,       274,         0,      0.11,      0.07,      0.03,      0.00
        50,        15,      3584,         0,      0.09,      0.07,      0.02,      0.00
        51,        12,       135,         0,      0.09,      0.07,      0.02,      0.00
        52,        12,      3520,         0,      0.09,      0.07,      0.02,      0.00
        53,        24,     34579,         0,      0.10,      0.07,      0.03,      0.00
        54,        21,       619,         0,      0.10,      0.07,      0.03,      0.00
        55,        13,       179,         0,      0.09,      0.07,      0.02,      0.00
        56,        20,      6186,         0,      0.10,      0.07,      0.03,      0.00
        57,        12,       672,         0,      0.09,      0.07,      0.02,      0.00
        58,        18,       117,         0,      0.10,      0.07,      0.03,      0.00
        59,        12,       143,         0,      0.09,      0.07,      0.02,      0.00
        60,        12,      2832,         0,      0.09,      0.07,      0.02,      0.00
        61,        14,      4556,         0,      0.09,      0.07,      0.02,      0.00
        62,        21,       625,         0,      0.11,      0.07,      0.03,      0.00
        63,       142,     32931,         0,      0.28,      0.07,      0.20,      0.00
        64,        23,      8956,         0,      0.10,      0.07,      0.03,      0.00
        65,        14,       746,         0,      0.09,      0.07,      0.02,      0.00
        66,        23,      2301,         0,      0.10,      0.07,      0.03,      0.00
        67,        32,       666,         0,      0.12,      0.07,      0.05,      0.00
        68,        22,      2178,         0,      0.10,      0.07,      0.03,      0.00
        69,        12,       130,         0,      0.09,      0.07,      0.02,      0.00
        70,        22,        22,         0,      0.10,      0.07,      0.03,      0.00
        71,        25,     12935,         0,      0.11,      0.07,      0.04,      0.00
        72,        11,        21,         0,      0.09,      0.07,      0.02,      0.00
        73,        42,      6137,         0,      0.13,      0.07,      0.06,      0.00
        74,        32,     13588,         0,      0.12,      0.07,      0.05,      0.00
        75,        15,      1525,         0,      0.09,      0.07,      0.02,      0.00
        76,        13,      1886,         0,      0.09,      0.07,      0.02,      0.00
        77,        20,     31500,         0,      0.10,      0.07,      0.03,      0.00
        78,        24,      5025,         0,      0.10,      0.07,      0.03,      0.00
        79,        18,       104,         0,      0.10,      0.07,      0.03,      0.00
        80,        15,       805,         0,      0.09,      0.07,      0.02,      0.00
        81,        12,      4390,         0,      0.09,      0.07,      0.02,      0.00
        82,       142,      7726,         0,      0.28,      0.07,      0.20,      0.00
        83,        25,       472,         0,      0.11,      0.07,      0.04,      0.00
        84,        15,      4604,         0,      0.09,      0.07,      0.02,      0.00
        85,        16,      1751,         0,      0.10,      0.07,      0.02,      0.00
        86,        37,     31733,         0,      0.12,      0.07,      0.05,      0.00
        87,        23,      3030,         0,      0.10,      0.07,      0.03,      0.00
        88,        10,      2234,         0,      0.09,      0.07,      0.01,      0.00
        89,        15,      3498,         0,      0.09,      0.07,      0.02,      0.00
        90,        32,      1814,         0,      0.12,      0.07,      0.05,      0.00
        91,       139,       798,         0,      0.27,      0.07,      0.20,      0.00
        92,        27,       397,         0,      0.11,      0.07,      0.04,      0.00
        93,        20,      7630,         0,      0.10,      0.07,      0.03,      0.00
        94,       123,       730,         0,      0.25,      0.07,      0.17,      0.00
        95,        27,      6195,         0,      0.11,      0.07,      0.04,      0.00
        96,        12,       948,         0,      0.09,      0.07,      0.02,      0.00
        97,        12,       338,         0,      0.09,      0.07,      0.02,      0.00
        98,        12,      2832,         0,      0.09,      0.07,      0.02,      0.00
        99,        10,       224,         0,      0.08,      0.07,      0.01,      0.00
       100,        12,       178,         0,      0.09,      0.07,      0.02,      0.00
       101,        28,      2212,         0,      0.11,      0.07,      0.04,      0.00
       102,        12,      1484,         0,      0.09,      0.07,      0.02,      0.00
       103,        20,      9825,         0,      0.10,      0.07,      0.03,      0.00
       104,        21,      3056,         0,      0.10,      0.07,      0.03,      0.00
       105,        13,      4052,         0,      0.09,      0.07,      0.02,      0.00
       106,        13,       169,         0,      0.09,      0.07,      0.02,      0.00
       107,        16,       919,         0,      0.09,      0.07,      0.02,      0.00
       108,        12,      1753,         0,      0.09,      0.07,      0.02,      0.00
       109,        17,      2447,         0,      0.10,      0.07,      0.02,      0.00
       110,        24,     23902,         0,      0.10,      0.07,      0.03,      0.00
       111,        10,       485,         0,      0.08,      0.07,      0.01,      0.00
       112,        13,        67,         0,      0.09,      0.07,      0.02,      0.00
       113,        10,       294,         0,      0.09,      0.07,      0.01,      0.00
       114,        14,      1938,         0,      0.09,      0.07,      0.02,      0.00
       115,        27,        27,         0,      0.11,      0.07,      0.04,      0.00
       116,        10,       293,         0,      0.09,      0.07,      0.01,      0.00
       117,        11,       316,         0,      0.09,      0.07,      0.02,      0.00
       118,        18,      2714,         0,      0.10,      0.07,      0.03,      0.00
       119,        19,      3722,         0,      0.10,      0.07,      0.03,      0.00
       120,        11,     11398,         0,      0.08,      0.07,      0.02,      0.00
       121,        16,      1028,         0,      0.09,      0.07,      0.02,      0.00
       122,        14,       770,         0,      0.09,      0.07,      0.02,      0.00
       123,        17,      3884,         0,      0.09,      0.07,      0.02,      0.00
       124,        10,       274,         0,      0.09,      0.07,      0.01,      0.00
       125,        18,       326,         0,      0.10,      0.07,      0.03,      0.00
       126,        11,       331,         0,      0.09,      0.07,      0.02,      0.00
       127,        13,     18799,         0,      0.09,      0.07,      0.02,      0.00
       128,        55,      1705,         0,      0.15,      0.07,      0.08,      0.00
       129,       124,      1612,         0,      0.25,      0.07,      0.18,      0.00
       130,        26,     14889,         0,      0.11,      0.07,      0.04,      0.00
       131,        22,      3234,         0,      0.10,      0.07,      0.03,      0.00
       132,        22,       644,         0,      0.11,      0.07,      0.03,      0.00
       133,        11,      1345,         0,      0.08,      0.07,      0.02,      0.00
       134,        20,       130,         0,      0.10,      0.07,      0.03,      0.00
       135,        19,      9703,         0,      0.10,      0.07,      0.03,      0.00
       136,        55,      2903,         0,      0.15,      0.07,      0.08,      0.00
       137,      5325,      5325,         0,      7.61,      0.07,      7.54,      0.00
       138,        18,      6544,         0,      0.10,      0.07,      0.03,      0.00
       139,        11,     11398,         0,      0.08,      0.07,      0.02,      0.00
       140,        15,      2047,         0,      0.09,      0.07,      0.02,      0.00
       141,        19,      1417,         0,      0.10,      0.07,      0.03,      0.00
       142,        11,        55,         0,      0.09,      0.07,      0.02,      0.00
       143,        19,       559,         0,      0.10,      0.07,      0.03,      0.00
       144,        47,      4549,         0,      0.14,      0.07,      0.07,      0.00
       145,        95,       542,         0,      0.21,      0.07,      0.13,      0.00
       146,        11,        62,         0,      0.09,      0.07,      0.02,      0.00
       147,       107,       107,         0,      0.23,      0.07,      0.15,      0.00
       148,        19,      4142,         0,      0.10,      0.07,      0.03,      0.00
       149,        21,     17289,         0,      0.10,      0.07,      0.03,      0.00
       150,        10,      1051,         0,      0.08,      0.07,      0.01,      0.00
       151,        24,       673,         0,      0.10,      0.07,      0.03,      0.00
       152,        11,       157,         0,      0.09,      0.07,      0.02,      0.00
       153,        15,      3041,         0,      0.09,      0.07,      0.02,      0.00
       154,        16,       110,         0,      0.09,      0.07,      0.02,      0.00
       155,       112,    118196,         0,      0.23,      0.07,      0.16,      0.00
       156,       216,       216,         0,      0.38,      0.07,      0.31,      0.00
       157,        20,      7570,         0,      0.10,      0.07,      0.03,      0.00
       158,        30,       880,         0,      0.12,      0.07,      0.04,      0.00
       159,        23,       658,         0,      0.10,      0.07,      0.03,      0.00
       160,        16,       170,         0,      0.09,      0.07,      0.02,      0.00
       161,        10,       486,         0,      0.08,      0.07,      0.01,      0.00
